road_id,accident_id,road_type,lighting,road_condition,response_time
R1230,1230,Expressway,Dim Light,Wet,<10 min
R1231,1231,Expressway,Daylight,Dry,10-20 min
R1232,1232,Highway,No Light,Damaged,10-20 min
R1233,1233,Highway,Street Light,Dry,20-30 min
R1234,1234,Rural Road,Dim Light,Under Construction,10-20 min
R1235,1235,Highway,Daylight,Wet,<10 min
R1236,1236,Highway,Daylight,Damaged,<10 min
R1237,1237,Rural Road,Dim Light,Wet,<10 min
R1238,1238,City Road,Daylight,Damaged,<10 min
R1239,1239,Expressway,Street Light,Wet,20-30 min
R1240,1240,Rural Road,Daylight,Dry,<10 min
R1241,1241,Rural Road,Street Light,Dry,10-20 min
R1242,1242,Highway,Street Light,Wet,20-30 min
R1243,1243,City Road,Dim Light,Damaged,10-20 min
R1244,1244,City Road,Daylight,Wet,<10 min
R1245,1245,Expressway,Daylight,Dry,>30 min
R1246,1246,Highway,Daylight,Under Construction,<10 min
R1247,1247,Rural Road,No Light,Wet,10-20 min
R1248,1248,Highway,Daylight,Under Construction,20-30 min
R1249,1249,Highway,Daylight,Damaged,<10 min
R1250,1250,Rural Road,No Light,Under Construction,>30 min
R1251,1251,Rural Road,Daylight,Damaged,<10 min
R1252,1252,City Road,Street Light,Dry,<10 min
R1253,1253,City Road,No Light,Under Construction,>30 min
R1254,1254,Expressway,Street Light,Damaged,20-30 min
R1255,1255,City Road,Dim Light,Wet,>30 min
R1256,1256,Rural Road,Daylight,Under Construction,<10 min
R1257,1257,Expressway,No Light,Under Construction,>30 min
R1258,1258,City Road,No Light,Dry,20-30 min
R1259,1259,Expressway,Dim Light,Damaged,20-30 min
R1260,1260,City Road,Street Light,Damaged,>30 min
R1261,1261,Expressway,No Light,Damaged,20-30 min
R1262,1262,Expressway,Dim Light,Under Construction,<10 min
R1263,1263,Highway,No Light,Under Construction,<10 min
R1264,1264,Expressway,Dim Light,Under Construction,<10 min
R1265,1265,City Road,Daylight,Dry,>30 min
R1266,1266,Expressway,Dim Light,Under Construction,10-20 min
R1267,1267,Rural Road,Street Light,Dry,>30 min
R1268,1268,Expressway,Dim Light,Damaged,>30 min
R1269,1269,Rural Road,No Light,Dry,>30 min
R1270,1270,Rural Road,Street Light,Under Construction,10-20 min
R1271,1271,Rural Road,Daylight,Dry,<10 min
R1272,1272,Highway,No Light,Damaged,20-30 min
R1273,1273,Expressway,Daylight,Under Construction,10-20 min
R1274,1274,Expressway,Dim Light,Wet,>30 min
R1275,1275,Expressway,Daylight,Dry,20-30 min
R1276,1276,Highway,No Light,Damaged,10-20 min
R1277,1277,City Road,Street Light,Damaged,>30 min
R1278,1278,Highway,Street Light,Damaged,20-30 min
R1279,1279,Highway,No Light,Wet,>30 min
R1280,1280,Highway,No Light,Under Construction,20-30 min
R1281,1281,City Road,Street Light,Dry,20-30 min
R1282,1282,Highway,Street Light,Wet,20-30 min
R1283,1283,City Road,Street Light,Damaged,20-30 min
R1284,1284,Expressway,No Light,Dry,10-20 min
R1285,1285,City Road,Daylight,Damaged,<10 min
R1286,1286,Highway,Daylight,Damaged,<10 min
R1287,1287,City Road,No Light,Wet,20-30 min
R1288,1288,Expressway,Daylight,Dry,20-30 min
R1289,1289,City Road,Daylight,Wet,<10 min
R1290,1290,City Road,Street Light,Dry,>30 min
R1291,1291,Rural Road,Daylight,Dry,20-30 min
R1292,1292,Rural Road,Dim Light,Damaged,10-20 min
R1293,1293,Highway,Dim Light,Under Construction,<10 min
R1294,1294,Highway,Street Light,Wet,>30 min
R1295,1295,Rural Road,Dim Light,Wet,20-30 min
R1296,1296,Expressway,No Light,Under Construction,<10 min
R1297,1297,Expressway,Street Light,Dry,>30 min
R1298,1298,City Road,Dim Light,Under Construction,10-20 min
R1299,1299,Highway,Street Light,Damaged,>30 min
R1300,1300,Rural Road,Dim Light,Under Construction,>30 min
R1301,1301,Rural Road,Daylight,Under Construction,20-30 min
R1302,1302,Highway,Street Light,Under Construction,>30 min
R1303,1303,Expressway,Dim Light,Damaged,<10 min
R1304,1304,City Road,Daylight,Under Construction,>30 min
R1305,1305,Highway,Street Light,Under Construction,20-30 min
R1306,1306,Rural Road,Daylight,Damaged,20-30 min
R1307,1307,Expressway,Daylight,Under Construction,>30 min
R1308,1308,Expressway,Street Light,Under Construction,10-20 min
R1309,1309,Rural Road,Street Light,Wet,10-20 min
R1310,1310,Expressway,Dim Light,Wet,<10 min
R1311,1311,Highway,No Light,Under Construction,<10 min
R1312,1312,Rural Road,Dim Light,Damaged,<10 min
R1313,1313,Highway,Daylight,Wet,>30 min
R1314,1314,City Road,Daylight,Dry,10-20 min
R1315,1315,Highway,Street Light,Damaged,>30 min
R1316,1316,City Road,Dim Light,Wet,20-30 min
R1317,1317,Expressway,Street Light,Under Construction,20-30 min
R1318,1318,Highway,Daylight,Dry,>30 min
R1319,1319,Rural Road,Street Light,Under Construction,>30 min
R1320,1320,Expressway,Street Light,Dry,<10 min
R1321,1321,Rural Road,No Light,Damaged,>30 min
R1322,1322,Rural Road,Dim Light,Dry,10-20 min
R1323,1323,Expressway,Street Light,Dry,<10 min
R1324,1324,Highway,No Light,Damaged,>30 min
R1325,1325,Highway,No Light,Damaged,10-20 min
R1326,1326,City Road,No Light,Dry,<10 min
R1327,1327,Rural Road,Dim Light,Damaged,>30 min
R1328,1328,City Road,Street Light,Dry,20-30 min
R1329,1329,Expressway,Street Light,Damaged,<10 min
R1330,1330,Highway,Daylight,Dry,20-30 min
R1331,1331,Expressway,No Light,Damaged,>30 min
R1332,1332,City Road,Street Light,Wet,>30 min
R1333,1333,Highway,Dim Light,Under Construction,<10 min
R1334,1334,Rural Road,Daylight,Under Construction,<10 min
R1335,1335,City Road,Street Light,Dry,10-20 min
R1336,1336,Expressway,No Light,Under Construction,>30 min
R1337,1337,Highway,Dim Light,Dry,20-30 min
R1338,1338,Expressway,No Light,Wet,20-30 min
R1339,1339,Expressway,Street Light,Dry,>30 min
R1340,1340,Highway,Daylight,Under Construction,10-20 min
R1341,1341,Expressway,Street Light,Dry,>30 min
R1342,1342,Rural Road,Daylight,Damaged,>30 min
R1343,1343,City Road,No Light,Under Construction,10-20 min
R1344,1344,City Road,Daylight,Wet,10-20 min
R1345,1345,Rural Road,Dim Light,Dry,<10 min
R1346,1346,Rural Road,Street Light,Damaged,10-20 min
R1347,1347,Rural Road,No Light,Damaged,>30 min
R1348,1348,Expressway,Daylight,Damaged,<10 min
R1349,1349,City Road,Dim Light,Dry,20-30 min
R1350,1350,Highway,Dim Light,Wet,<10 min
R1351,1351,Expressway,Daylight,Wet,20-30 min
R1352,1352,Expressway,Street Light,Dry,<10 min
R1353,1353,Highway,No Light,Damaged,20-30 min
R1354,1354,Highway,Dim Light,Damaged,20-30 min
R1355,1355,Highway,Street Light,Damaged,>30 min
R1356,1356,Highway,No Light,Under Construction,>30 min
R1357,1357,City Road,No Light,Wet,<10 min
R1358,1358,Rural Road,Street Light,Dry,10-20 min
R1359,1359,Expressway,No Light,Damaged,10-20 min
R1360,1360,Expressway,Street Light,Under Construction,20-30 min
R1361,1361,Highway,Street Light,Dry,>30 min
R1362,1362,Highway,Dim Light,Dry,<10 min
R1363,1363,Rural Road,No Light,Dry,>30 min
R1364,1364,City Road,Street Light,Under Construction,20-30 min
R1365,1365,City Road,Street Light,Dry,20-30 min
R1366,1366,Rural Road,Street Light,Wet,20-30 min
R1367,1367,Expressway,Street Light,Under Construction,<10 min
R1368,1368,Highway,Daylight,Dry,>30 min
R1369,1369,Expressway,No Light,Wet,>30 min
R1370,1370,Rural Road,Daylight,Damaged,>30 min
R1371,1371,Rural Road,No Light,Damaged,10-20 min
R1372,1372,Expressway,Dim Light,Wet,10-20 min
R1373,1373,City Road,No Light,Dry,10-20 min
R1374,1374,City Road,Daylight,Wet,>30 min
R1375,1375,Highway,No Light,Damaged,20-30 min
R1376,1376,Highway,Dim Light,Wet,>30 min
R1377,1377,City Road,Dim Light,Wet,>30 min
R1378,1378,City Road,No Light,Damaged,10-20 min
R1379,1379,Rural Road,Daylight,Under Construction,>30 min
R1380,1380,Highway,Dim Light,Dry,<10 min
R1381,1381,Rural Road,Dim Light,Under Construction,20-30 min
R1382,1382,City Road,Dim Light,Damaged,10-20 min
R1383,1383,City Road,Street Light,Under Construction,10-20 min
R1384,1384,Highway,Daylight,Dry,>30 min
R1385,1385,City Road,Daylight,Damaged,10-20 min
R1386,1386,Rural Road,Street Light,Dry,>30 min
R1387,1387,City Road,Daylight,Wet,<10 min
R1388,1388,Expressway,Dim Light,Wet,<10 min
R1389,1389,Rural Road,No Light,Wet,<10 min
R1390,1390,Expressway,Daylight,Under Construction,10-20 min
R1391,1391,Expressway,Dim Light,Dry,10-20 min
R1392,1392,Expressway,Daylight,Damaged,<10 min
R1393,1393,Highway,Dim Light,Damaged,<10 min
R1394,1394,Rural Road,Dim Light,Wet,>30 min
R1395,1395,Rural Road,No Light,Dry,10-20 min
R1396,1396,Expressway,Daylight,Damaged,<10 min
R1397,1397,Expressway,Daylight,Damaged,>30 min
R1398,1398,Expressway,No Light,Dry,10-20 min
R1399,1399,Rural Road,Daylight,Dry,20-30 min
R1400,1400,Highway,Daylight,Under Construction,10-20 min
R1401,1401,City Road,Daylight,Wet,>30 min
R1402,1402,Rural Road,No Light,Damaged,10-20 min
R1403,1403,Rural Road,No Light,Wet,20-30 min
R1404,1404,Highway,Daylight,Damaged,>30 min
R1405,1405,Highway,No Light,Dry,10-20 min
R1406,1406,City Road,Daylight,Dry,10-20 min
R1407,1407,City Road,Daylight,Damaged,20-30 min
R1408,1408,Highway,Dim Light,Dry,10-20 min
R1409,1409,Expressway,No Light,Damaged,>30 min
R1410,1410,Highway,No Light,Wet,<10 min
R1411,1411,City Road,Daylight,Dry,20-30 min
R1412,1412,Expressway,Street Light,Damaged,10-20 min
R1413,1413,Expressway,Daylight,Wet,<10 min
R1414,1414,Expressway,Dim Light,Wet,10-20 min
R1415,1415,Expressway,Street Light,Damaged,10-20 min
R1416,1416,City Road,Daylight,Dry,>30 min
R1417,1417,City Road,Street Light,Damaged,<10 min
R1418,1418,Highway,No Light,Dry,20-30 min
R1419,1419,Expressway,No Light,Under Construction,>30 min
R1420,1420,City Road,Dim Light,Wet,<10 min
R1421,1421,Rural Road,Dim Light,Dry,>30 min
R1422,1422,Expressway,Daylight,Dry,20-30 min
R1423,1423,City Road,No Light,Wet,20-30 min
R1424,1424,Highway,No Light,Wet,>30 min
R1425,1425,Rural Road,Dim Light,Wet,>30 min
R1426,1426,Rural Road,No Light,Dry,>30 min
R1427,1427,Expressway,No Light,Damaged,>30 min
R1428,1428,Highway,Street Light,Dry,<10 min
R1429,1429,City Road,Daylight,Dry,>30 min
R1430,1430,Expressway,Daylight,Damaged,<10 min
R1431,1431,Expressway,Dim Light,Wet,20-30 min
R1432,1432,Expressway,Dim Light,Damaged,<10 min
R1433,1433,Rural Road,No Light,Under Construction,10-20 min
R1434,1434,Rural Road,Street Light,Damaged,20-30 min
R1435,1435,Highway,Daylight,Dry,>30 min
R1436,1436,Rural Road,No Light,Under Construction,<10 min
R1437,1437,Expressway,Dim Light,Dry,>30 min
R1438,1438,Rural Road,Street Light,Dry,<10 min
R1439,1439,Expressway,No Light,Damaged,>30 min
R1440,1440,Rural Road,Dim Light,Under Construction,10-20 min
R1441,1441,Highway,No Light,Wet,20-30 min
R1442,1442,Expressway,Dim Light,Damaged,10-20 min
R1443,1443,Rural Road,Dim Light,Under Construction,<10 min
R1444,1444,City Road,Daylight,Wet,20-30 min
R1445,1445,Expressway,No Light,Under Construction,20-30 min
R1446,1446,Highway,No Light,Under Construction,10-20 min
R1447,1447,Rural Road,No Light,Damaged,<10 min
R1448,1448,Highway,Daylight,Wet,20-30 min
R1449,1449,City Road,No Light,Under Construction,10-20 min
R1450,1450,Highway,Daylight,Under Construction,<10 min
R1451,1451,Expressway,Daylight,Dry,<10 min
R1452,1452,Expressway,Daylight,Wet,20-30 min
R1453,1453,City Road,Daylight,Under Construction,>30 min
R1454,1454,Expressway,Dim Light,Dry,20-30 min
R1455,1455,Rural Road,Dim Light,Dry,20-30 min
R1456,1456,Rural Road,No Light,Dry,10-20 min
R1457,1457,City Road,No Light,Damaged,>30 min
R1458,1458,Rural Road,Dim Light,Wet,<10 min
R1459,1459,City Road,Daylight,Wet,>30 min
R1460,1460,Expressway,Dim Light,Dry,20-30 min
R1461,1461,Expressway,Dim Light,Damaged,20-30 min
R1462,1462,City Road,Street Light,Under Construction,20-30 min
R1463,1463,City Road,No Light,Wet,20-30 min
R1464,1464,Rural Road,Daylight,Dry,10-20 min
R1465,1465,Highway,Street Light,Damaged,>30 min
R1466,1466,Expressway,Dim Light,Dry,>30 min
R1467,1467,Rural Road,Dim Light,Under Construction,>30 min
R1468,1468,Expressway,Daylight,Dry,>30 min
R1469,1469,City Road,Daylight,Dry,10-20 min
R1470,1470,Rural Road,Dim Light,Under Construction,<10 min
R1471,1471,Highway,No Light,Dry,10-20 min
R1472,1472,Expressway,Street Light,Dry,<10 min
R1473,1473,City Road,Daylight,Damaged,10-20 min
R1474,1474,City Road,Dim Light,Under Construction,>30 min
R1475,1475,Expressway,Dim Light,Under Construction,<10 min
R1476,1476,City Road,Street Light,Dry,20-30 min
R1477,1477,Rural Road,Street Light,Under Construction,10-20 min
R1478,1478,City Road,Street Light,Damaged,10-20 min
R1479,1479,Expressway,No Light,Under Construction,20-30 min
R1480,1480,Expressway,No Light,Under Construction,20-30 min
R1481,1481,City Road,Street Light,Damaged,>30 min
R1482,1482,Expressway,No Light,Wet,20-30 min
R1483,1483,Expressway,Daylight,Under Construction,10-20 min
R1484,1484,Rural Road,Dim Light,Under Construction,>30 min
R1485,1485,Expressway,Dim Light,Damaged,>30 min
R1486,1486,Highway,Dim Light,Dry,10-20 min
R1487,1487,Highway,Daylight,Wet,>30 min
R1488,1488,Expressway,Daylight,Damaged,10-20 min
R1489,1489,Expressway,Daylight,Under Construction,10-20 min
R1490,1490,City Road,No Light,Damaged,<10 min
R1491,1491,City Road,Daylight,Dry,<10 min
R1492,1492,City Road,Dim Light,Damaged,20-30 min
R1493,1493,Expressway,Dim Light,Under Construction,10-20 min
R1494,1494,City Road,Dim Light,Wet,20-30 min
R1495,1495,Expressway,Daylight,Dry,>30 min
R1496,1496,City Road,Daylight,Dry,10-20 min
R1497,1497,City Road,Street Light,Damaged,>30 min
R1498,1498,Expressway,Dim Light,Dry,10-20 min
R1499,1499,Expressway,Dim Light,Dry,20-30 min
R1500,1500,Expressway,Street Light,Under Construction,>30 min
R1501,1501,City Road,Dim Light,Wet,>30 min
R1502,1502,Rural Road,No Light,Dry,10-20 min
R1503,1503,City Road,Street Light,Wet,10-20 min
R1504,1504,Highway,Street Light,Wet,20-30 min
R1505,1505,Expressway,Street Light,Dry,20-30 min
R1506,1506,Highway,Daylight,Wet,>30 min
R1507,1507,Highway,Street Light,Wet,<10 min
R1508,1508,Rural Road,Street Light,Under Construction,<10 min
R1509,1509,Highway,Daylight,Wet,10-20 min
R1510,1510,Highway,No Light,Under Construction,10-20 min
R1511,1511,Highway,No Light,Damaged,<10 min
R1512,1512,City Road,Street Light,Under Construction,>30 min
R1513,1513,City Road,Street Light,Wet,10-20 min
R1514,1514,Expressway,No Light,Under Construction,10-20 min
R1515,1515,City Road,Dim Light,Damaged,10-20 min
R1516,1516,Expressway,Daylight,Under Construction,20-30 min
R1517,1517,City Road,Daylight,Wet,>30 min
R1518,1518,Rural Road,No Light,Damaged,>30 min
R1519,1519,Rural Road,Daylight,Dry,20-30 min
R1520,1520,Rural Road,Dim Light,Wet,<10 min
R1521,1521,Rural Road,Daylight,Dry,>30 min
R1522,1522,Rural Road,Daylight,Dry,<10 min
R1523,1523,Rural Road,Dim Light,Damaged,<10 min
R1524,1524,City Road,Daylight,Wet,10-20 min
R1525,1525,Expressway,No Light,Under Construction,>30 min
R1526,1526,Expressway,Street Light,Under Construction,>30 min
R1527,1527,Expressway,Street Light,Damaged,10-20 min
R1528,1528,Highway,No Light,Under Construction,10-20 min
R1529,1529,City Road,Street Light,Damaged,<10 min
R1530,1530,Highway,Daylight,Under Construction,>30 min
R1531,1531,Highway,Daylight,Damaged,>30 min
R1532,1532,Expressway,No Light,Wet,<10 min
R1533,1533,City Road,Daylight,Under Construction,<10 min
R1534,1534,City Road,Dim Light,Wet,10-20 min
R1535,1535,Rural Road,Street Light,Under Construction,<10 min
R1536,1536,Rural Road,No Light,Under Construction,<10 min
R1537,1537,Rural Road,Street Light,Wet,10-20 min
R1538,1538,Highway,Dim Light,Damaged,>30 min
R1539,1539,City Road,Dim Light,Wet,10-20 min
R1540,1540,City Road,Street Light,Under Construction,10-20 min
R1541,1541,Rural Road,No Light,Under Construction,20-30 min
R1542,1542,City Road,Street Light,Under Construction,<10 min
R1543,1543,Highway,No Light,Wet,>30 min
R1544,1544,Rural Road,Street Light,Under Construction,>30 min
R1545,1545,Highway,Dim Light,Damaged,<10 min
R1546,1546,City Road,No Light,Under Construction,>30 min
R1547,1547,Highway,Daylight,Wet,<10 min
R1548,1548,City Road,Daylight,Wet,<10 min
R1549,1549,Rural Road,Street Light,Dry,10-20 min
R1550,1550,City Road,Dim Light,Damaged,>30 min
R1551,1551,City Road,Dim Light,Damaged,10-20 min
R1552,1552,Expressway,Street Light,Dry,20-30 min
R1553,1553,City Road,Street Light,Dry,>30 min
R1554,1554,Rural Road,No Light,Damaged,<10 min
R1555,1555,Rural Road,Dim Light,Under Construction,>30 min
R1556,1556,Rural Road,Street Light,Wet,10-20 min
R1557,1557,City Road,Dim Light,Under Construction,<10 min
R1558,1558,Expressway,No Light,Wet,>30 min
R1559,1559,Expressway,Street Light,Wet,20-30 min
R1560,1560,Expressway,Daylight,Under Construction,20-30 min
R1561,1561,Expressway,Street Light,Damaged,20-30 min
R1562,1562,Expressway,Dim Light,Wet,>30 min
R1563,1563,Rural Road,Dim Light,Damaged,10-20 min
R1564,1564,Rural Road,Street Light,Dry,10-20 min
R1565,1565,Expressway,Street Light,Dry,10-20 min
R1566,1566,City Road,Street Light,Damaged,20-30 min
R1567,1567,Expressway,Street Light,Dry,20-30 min
R1568,1568,Expressway,Dim Light,Damaged,>30 min
R1569,1569,Highway,Daylight,Wet,20-30 min
R1570,1570,Expressway,Daylight,Under Construction,>30 min
R1571,1571,Expressway,Street Light,Under Construction,>30 min
R1572,1572,Expressway,Daylight,Damaged,20-30 min
R1573,1573,Highway,Dim Light,Under Construction,>30 min
R1574,1574,Highway,Dim Light,Dry,20-30 min
R1575,1575,Highway,Street Light,Damaged,10-20 min
R1576,1576,Highway,Street Light,Dry,10-20 min
R1577,1577,City Road,Street Light,Under Construction,10-20 min
R1578,1578,City Road,No Light,Dry,>30 min
R1579,1579,Highway,No Light,Under Construction,>30 min
R1580,1580,Expressway,Daylight,Under Construction,10-20 min
R1581,1581,Highway,Street Light,Damaged,10-20 min
R1582,1582,Rural Road,Dim Light,Under Construction,20-30 min
R1583,1583,Rural Road,Street Light,Wet,10-20 min
R1584,1584,Highway,No Light,Under Construction,<10 min
R1585,1585,Rural Road,No Light,Under Construction,<10 min
R1586,1586,Expressway,Dim Light,Dry,20-30 min
R1587,1587,City Road,Street Light,Dry,20-30 min
R1588,1588,Highway,Daylight,Under Construction,10-20 min
R1589,1589,City Road,Dim Light,Damaged,10-20 min
R1590,1590,Expressway,No Light,Wet,20-30 min
R1591,1591,Highway,Dim Light,Dry,10-20 min
R1592,1592,City Road,Dim Light,Dry,20-30 min
R1593,1593,Highway,Dim Light,Wet,>30 min
R1594,1594,Rural Road,Street Light,Under Construction,20-30 min
R1595,1595,Expressway,Dim Light,Wet,>30 min
R1596,1596,Rural Road,Street Light,Dry,<10 min
R1597,1597,Highway,No Light,Dry,20-30 min
R1598,1598,Highway,Street Light,Under Construction,<10 min
R1599,1599,Highway,Dim Light,Damaged,>30 min
R1600,1600,Rural Road,Dim Light,Under Construction,<10 min
R1601,1601,Highway,Daylight,Dry,>30 min
R1602,1602,Rural Road,No Light,Dry,>30 min
R1603,1603,City Road,Daylight,Dry,10-20 min
R1604,1604,City Road,Dim Light,Under Construction,10-20 min
R1605,1605,City Road,Street Light,Wet,<10 min
R1606,1606,City Road,Street Light,Under Construction,<10 min
R1607,1607,City Road,Daylight,Damaged,>30 min
R1608,1608,Highway,No Light,Wet,>30 min
R1609,1609,City Road,Daylight,Under Construction,10-20 min
R1610,1610,Rural Road,No Light,Dry,>30 min
R1611,1611,Expressway,Daylight,Wet,10-20 min
R1612,1612,City Road,No Light,Wet,20-30 min
R1613,1613,City Road,Street Light,Under Construction,>30 min
R1614,1614,City Road,No Light,Wet,10-20 min
R1615,1615,Rural Road,Daylight,Damaged,20-30 min
R1616,1616,Highway,No Light,Damaged,10-20 min
R1617,1617,Highway,Street Light,Dry,<10 min
R1618,1618,Expressway,Dim Light,Under Construction,10-20 min
R1619,1619,Rural Road,No Light,Dry,>30 min
R1620,1620,Expressway,Dim Light,Dry,<10 min
R1621,1621,Rural Road,Daylight,Under Construction,>30 min
R1622,1622,Expressway,Daylight,Damaged,>30 min
R1623,1623,City Road,Daylight,Wet,10-20 min
R1624,1624,City Road,Street Light,Dry,10-20 min
R1625,1625,Expressway,Daylight,Dry,10-20 min
R1626,1626,City Road,Daylight,Dry,10-20 min
R1627,1627,Expressway,Daylight,Dry,10-20 min
R1628,1628,Rural Road,Daylight,Wet,10-20 min
R1629,1629,Highway,No Light,Dry,>30 min
R1630,1630,Expressway,Street Light,Under Construction,10-20 min
R1631,1631,City Road,No Light,Under Construction,<10 min
R1632,1632,Highway,Dim Light,Wet,20-30 min
R1633,1633,Expressway,Street Light,Dry,20-30 min
R1634,1634,City Road,Daylight,Dry,>30 min
R1635,1635,Expressway,Daylight,Under Construction,<10 min
R1636,1636,Expressway,Daylight,Damaged,10-20 min
R1637,1637,Rural Road,Dim Light,Damaged,>30 min
R1638,1638,Expressway,Dim Light,Under Construction,20-30 min
R1639,1639,City Road,Street Light,Damaged,20-30 min
R1640,1640,Highway,Daylight,Dry,>30 min
R1641,1641,City Road,Street Light,Damaged,>30 min
R1642,1642,Rural Road,No Light,Damaged,>30 min
R1643,1643,City Road,Daylight,Dry,>30 min
R1644,1644,City Road,Dim Light,Dry,10-20 min
R1645,1645,Highway,Street Light,Damaged,>30 min
R1646,1646,Expressway,No Light,Dry,20-30 min
R1647,1647,City Road,Dim Light,Wet,>30 min
R1648,1648,Rural Road,No Light,Damaged,10-20 min
R1649,1649,Expressway,Dim Light,Under Construction,<10 min
R1650,1650,City Road,Daylight,Dry,<10 min
R1651,1651,Rural Road,Street Light,Wet,<10 min
R1652,1652,Highway,Dim Light,Wet,20-30 min
R1653,1653,Expressway,Daylight,Under Construction,<10 min
R1654,1654,Highway,Street Light,Damaged,<10 min
R1655,1655,Expressway,Dim Light,Dry,20-30 min
R1656,1656,City Road,Street Light,Dry,>30 min
R1657,1657,City Road,Street Light,Damaged,10-20 min
R1658,1658,City Road,Daylight,Damaged,10-20 min
R1659,1659,Expressway,Street Light,Damaged,>30 min
R1660,1660,Expressway,Dim Light,Wet,>30 min
R1661,1661,Highway,Street Light,Wet,>30 min
R1662,1662,City Road,Street Light,Damaged,<10 min
R1663,1663,City Road,Dim Light,Damaged,<10 min
R1664,1664,Rural Road,No Light,Dry,<10 min
R1665,1665,Highway,Dim Light,Dry,<10 min
R1666,1666,Rural Road,Daylight,Wet,20-30 min
R1667,1667,Expressway,Daylight,Under Construction,20-30 min
R1668,1668,Highway,Street Light,Dry,20-30 min
R1669,1669,Highway,Street Light,Damaged,20-30 min
R1670,1670,Highway,Street Light,Wet,20-30 min
R1671,1671,Expressway,Street Light,Wet,>30 min
R1672,1672,Expressway,Daylight,Damaged,10-20 min
R1673,1673,Highway,Daylight,Under Construction,20-30 min
R1674,1674,Highway,Dim Light,Damaged,>30 min
R1675,1675,City Road,No Light,Under Construction,>30 min
R1676,1676,Highway,Dim Light,Damaged,10-20 min
R1677,1677,City Road,Street Light,Damaged,10-20 min
R1678,1678,Rural Road,Street Light,Under Construction,10-20 min
R1679,1679,City Road,Daylight,Damaged,20-30 min
R1680,1680,Rural Road,Street Light,Damaged,>30 min
R1681,1681,Rural Road,Dim Light,Damaged,20-30 min
R1682,1682,City Road,Daylight,Dry,>30 min
R1683,1683,Highway,Street Light,Wet,10-20 min
R1684,1684,Highway,Street Light,Under Construction,<10 min
R1685,1685,Rural Road,Daylight,Damaged,<10 min
R1686,1686,Rural Road,Street Light,Wet,20-30 min
R1687,1687,Expressway,Daylight,Damaged,20-30 min
R1688,1688,Rural Road,Street Light,Under Construction,10-20 min
R1689,1689,City Road,Street Light,Wet,10-20 min
R1690,1690,City Road,No Light,Dry,>30 min
R1691,1691,Rural Road,Daylight,Under Construction,>30 min
R1692,1692,Expressway,No Light,Dry,<10 min
R1693,1693,Rural Road,No Light,Under Construction,<10 min
R1694,1694,Highway,No Light,Wet,<10 min
R1695,1695,Expressway,No Light,Under Construction,20-30 min
R1696,1696,City Road,Daylight,Damaged,<10 min
R1697,1697,Highway,Dim Light,Wet,20-30 min
R1698,1698,Highway,Street Light,Wet,10-20 min
R1699,1699,Expressway,Dim Light,Under Construction,10-20 min
R1700,1700,Rural Road,Street Light,Wet,20-30 min
R1701,1701,Highway,Dim Light,Under Construction,10-20 min
R1702,1702,Rural Road,No Light,Damaged,<10 min
R1703,1703,Expressway,Daylight,Wet,>30 min
R1704,1704,Highway,Street Light,Wet,10-20 min
R1705,1705,Highway,Dim Light,Under Construction,<10 min
R1706,1706,Rural Road,No Light,Wet,<10 min
R1707,1707,Highway,Dim Light,Wet,10-20 min
R1708,1708,Highway,No Light,Wet,>30 min
R1709,1709,City Road,Street Light,Under Construction,>30 min
R1710,1710,Rural Road,Daylight,Under Construction,<10 min
R1711,1711,Highway,Street Light,Wet,20-30 min
R1712,1712,City Road,Street Light,Under Construction,>30 min
R1713,1713,Expressway,Daylight,Damaged,<10 min
R1714,1714,Highway,Street Light,Dry,10-20 min
R1715,1715,Rural Road,Daylight,Wet,<10 min
R1716,1716,Rural Road,Dim Light,Under Construction,<10 min
R1717,1717,Expressway,No Light,Wet,20-30 min
R1718,1718,Highway,Daylight,Wet,<10 min
R1719,1719,City Road,Dim Light,Under Construction,>30 min
R1720,1720,Expressway,Street Light,Wet,<10 min
R1721,1721,Expressway,Street Light,Wet,<10 min
R1722,1722,Expressway,Dim Light,Wet,10-20 min
R1723,1723,City Road,No Light,Wet,10-20 min
R1724,1724,Expressway,No Light,Damaged,>30 min
R1725,1725,Highway,Daylight,Damaged,>30 min
R1726,1726,Expressway,Daylight,Under Construction,<10 min
R1727,1727,Highway,Dim Light,Under Construction,<10 min
R1728,1728,City Road,No Light,Under Construction,20-30 min
R1729,1729,Rural Road,Daylight,Wet,<10 min
R1730,1730,City Road,Daylight,Dry,<10 min
R1731,1731,City Road,Dim Light,Under Construction,>30 min
R1732,1732,Rural Road,Daylight,Under Construction,<10 min
R1733,1733,Expressway,Daylight,Wet,>30 min
R1734,1734,Rural Road,Street Light,Dry,20-30 min
R1735,1735,City Road,Daylight,Dry,20-30 min
R1736,1736,Rural Road,Daylight,Damaged,<10 min
R1737,1737,City Road,Dim Light,Under Construction,20-30 min
R1738,1738,Highway,No Light,Under Construction,20-30 min
R1739,1739,Highway,Street Light,Under Construction,10-20 min
R1740,1740,Rural Road,Dim Light,Dry,20-30 min
R1741,1741,Rural Road,No Light,Damaged,20-30 min
R1742,1742,Expressway,Street Light,Damaged,>30 min
R1743,1743,Highway,Dim Light,Under Construction,10-20 min
R1744,1744,City Road,No Light,Dry,20-30 min
R1745,1745,Expressway,Street Light,Wet,20-30 min
R1746,1746,Highway,No Light,Wet,<10 min
