vehicle_id,accident_id,vehicle_type,vehicle_condition,driver_behavior,driver_age,passenger_count
V1303,1303,Van,Average,Normal,23,4
V1304,1304,Bike,Average,Overspeeding,32,5
V1305,1305,Auto,Good,Normal,36,2
V1306,1306,Truck,Average,Overspeeding,60,5
V1307,1307,Bike,Good,Fatigue,26,3
V1308,1308,Car,Poor,Drunk Driving,30,1
V1309,1309,Bicycle,Average,Drunk Driving,25,5
V1310,1310,Bike,Good,Overspeeding,43,3
V1311,1311,Van,Poor,Overspeeding,57,4
V1312,1312,Car,Poor,Fatigue,26,4
V1313,1313,Auto,Good,Overspeeding,55,4
V1314,1314,Bike,Good,Fatigue,18,1
V1315,1315,Bus,Good,Fatigue,23,3
V1316,1316,Van,Poor,Drunk Driving,29,5
V1317,1317,Van,Average,Overspeeding,35,1
V1318,1318,Bike,Good,Normal,62,1
V1319,1319,Bicycle,Poor,Normal,58,5
V1320,1320,Truck,Good,Drunk Driving,37,1
V1321,1321,Bicycle,Poor,Distracted,44,1
V1322,1322,Bus,Good,Overspeeding,57,5
V1323,1323,Van,Good,Normal,59,1
V1324,1324,Bicycle,Average,Distracted,52,2
V1325,1325,Truck,Average,Overspeeding,28,5
V1326,1326,Bike,Poor,Normal,22,4
V1327,1327,Bus,Poor,Drunk Driving,21,3
V1328,1328,Truck,Good,Fatigue,26,4
V1329,1329,Truck,Poor,Fatigue,64,5
V1330,1330,Bicycle,Good,Overspeeding,49,5
V1331,1331,Bus,Average,Distracted,30,1
V1332,1332,Van,Poor,Drunk Driving,53,2
V1333,1333,Car,Poor,Distracted,29,1
V1334,1334,Bike,Poor,Distracted,59,3
V1335,1335,Car,Good,Fatigue,61,4
V1336,1336,Bike,Average,Distracted,63,3
V1337,1337,Bus,Good,Distracted,19,5
V1338,1338,Bicycle,Poor,Overspeeding,50,3
V1339,1339,Bicycle,Average,Distracted,56,2
V1340,1340,Bike,Average,Normal,37,5
V1341,1341,Car,Poor,Fatigue,25,1
V1342,1342,Truck,Average,Distracted,27,3
V1343,1343,Auto,Good,Normal,39,3
V1344,1344,Bike,Average,Drunk Driving,30,3
V1345,1345,Auto,Average,Overspeeding,42,5
V1346,1346,Car,Good,Drunk Driving,62,1
V1347,1347,Van,Poor,Distracted,64,3
V1348,1348,Bus,Average,Distracted,49,3
V1349,1349,Bus,Average,Overspeeding,59,5
V1350,1350,Bus,Good,Distracted,34,1
V1351,1351,Van,Average,Fatigue,43,1
V1352,1352,Car,Poor,Distracted,31,5
V1353,1353,Auto,Poor,Drunk Driving,50,5
V1354,1354,Auto,Good,Normal,18,2
V1355,1355,Bicycle,Average,Overspeeding,33,4
V1356,1356,Bicycle,Poor,Distracted,38,2
V1357,1357,Bicycle,Good,Overspeeding,25,5
V1358,1358,Bus,Poor,Fatigue,59,2
V1359,1359,Bicycle,Poor,Distracted,63,2
V1360,1360,Van,Good,Distracted,62,4
V1361,1361,Bus,Good,Fatigue,37,5
V1362,1362,Van,Poor,Normal,31,5
V1363,1363,Bicycle,Poor,Drunk Driving,61,1
V1364,1364,Bicycle,Good,Drunk Driving,25,2
V1365,1365,Car,Good,Overspeeding,63,3
V1366,1366,Truck,Poor,Distracted,47,4
V1367,1367,Bus,Poor,Drunk Driving,47,5
V1368,1368,Bike,Average,Fatigue,51,4
V1369,1369,Van,Average,Normal,64,1
V1370,1370,Bike,Poor,Fatigue,47,5
V1371,1371,Auto,Average,Normal,57,4
V1372,1372,Auto,Poor,Drunk Driving,46,5
V1373,1373,Auto,Poor,Overspeeding,38,3
V1374,1374,Car,Good,Fatigue,60,3
V1375,1375,Car,Average,Distracted,30,2
V1376,1376,Van,Average,Drunk Driving,18,4
V1377,1377,Car,Good,Overspeeding,58,1
V1378,1378,Car,Poor,Drunk Driving,40,2
V1379,1379,Car,Good,Overspeeding,28,3
V1380,1380,Car,Poor,Drunk Driving,30,5
V1381,1381,Truck,Average,Drunk Driving,59,4
V1382,1382,Bike,Good,Fatigue,50,2
V1383,1383,Bicycle,Average,Overspeeding,36,5
V1384,1384,Van,Average,Fatigue,59,3
V1385,1385,Bicycle,Poor,Distracted,29,4
V1386,1386,Bus,Average,Overspeeding,28,5
V1387,1387,Bike,Average,Normal,43,3
V1388,1388,Van,Average,Distracted,38,5
V1389,1389,Car,Poor,Normal,18,3
V1390,1390,Bicycle,Average,Normal,63,5
V1391,1391,Bike,Good,Overspeeding,38,5
V1392,1392,Car,Average,Fatigue,23,2
V1393,1393,Truck,Poor,Drunk Driving,31,5
V1394,1394,Van,Poor,Overspeeding,25,5
V1395,1395,Bicycle,Poor,Fatigue,61,1
V1396,1396,Bike,Poor,Distracted,65,4
V1397,1397,Bike,Poor,Drunk Driving,29,3
V1398,1398,Van,Good,Distracted,59,4
V1399,1399,Bike,Poor,Fatigue,32,2
V1400,1400,Truck,Good,Fatigue,57,5
V1401,1401,Bike,Average,Overspeeding,43,5
V1402,1402,Car,Poor,Fatigue,47,2
V1403,1403,Bus,Good,Fatigue,26,4
V1404,1404,Bus,Average,Distracted,25,1
V1405,1405,Van,Poor,Normal,34,2
V1406,1406,Van,Poor,Normal,35,1
V1407,1407,Van,Poor,Distracted,36,1
V1408,1408,Bicycle,Average,Overspeeding,22,1
V1409,1409,Bike,Average,Normal,18,5
V1410,1410,Car,Good,Overspeeding,43,1
V1411,1411,Bicycle,Average,Drunk Driving,45,2
V1412,1412,Bus,Average,Distracted,44,1
V1413,1413,Car,Good,Normal,49,4
V1414,1414,Bike,Poor,Fatigue,52,4
V1415,1415,Auto,Good,Normal,19,1
V1416,1416,Truck,Poor,Fatigue,46,5
V1417,1417,Car,Average,Overspeeding,44,1
V1418,1418,Car,Poor,Fatigue,43,2
V1419,1419,Car,Poor,Overspeeding,33,1
V1420,1420,Auto,Good,Fatigue,65,1
V1421,1421,Bicycle,Poor,Fatigue,54,1
V1422,1422,Van,Average,Distracted,33,3
V1423,1423,Car,Average,Overspeeding,39,3
V1424,1424,Bicycle,Good,Distracted,34,4
V1425,1425,Bicycle,Good,Distracted,64,5
V1426,1426,Truck,Poor,Fatigue,64,2
V1427,1427,Truck,Average,Drunk Driving,59,2
V1428,1428,Auto,Poor,Normal,43,5
V1429,1429,Bus,Average,Drunk Driving,58,4
V1430,1430,Bus,Good,Fatigue,28,5
V1431,1431,Bus,Average,Fatigue,36,5
V1432,1432,Bike,Average,Drunk Driving,52,5
V1433,1433,Van,Average,Distracted,38,3
V1434,1434,Bus,Poor,Distracted,56,2
V1435,1435,Car,Good,Fatigue,39,2
V1436,1436,Auto,Good,Overspeeding,45,4
V1437,1437,Truck,Good,Distracted,56,3
V1438,1438,Van,Average,Overspeeding,49,4
V1439,1439,Car,Poor,Normal,59,2
V1440,1440,Truck,Average,Normal,44,5
V1441,1441,Truck,Good,Normal,31,3
V1442,1442,Bike,Poor,Overspeeding,23,4
V1443,1443,Auto,Poor,Distracted,19,2
V1444,1444,Car,Poor,Drunk Driving,35,4
V1445,1445,Bicycle,Average,Drunk Driving,51,2
V1446,1446,Auto,Poor,Drunk Driving,48,1
V1447,1447,Bike,Average,Overspeeding,52,3
V1448,1448,Car,Good,Normal,24,4
V1449,1449,Bus,Good,Distracted,53,1
V1450,1450,Truck,Poor,Overspeeding,37,4
V1451,1451,Bike,Poor,Normal,29,4
V1452,1452,Auto,Average,Distracted,30,4
V1453,1453,Bike,Average,Fatigue,51,5
V1454,1454,Van,Poor,Overspeeding,53,5
V1455,1455,Car,Average,Fatigue,47,1
V1456,1456,Bus,Good,Distracted,59,3
V1457,1457,Car,Poor,Drunk Driving,58,4
V1458,1458,Van,Average,Fatigue,37,2
V1459,1459,Bike,Poor,Drunk Driving,42,3
V1460,1460,Bike,Good,Drunk Driving,20,2
V1461,1461,Van,Good,Normal,18,2
V1462,1462,Bicycle,Poor,Drunk Driving,30,5
V1463,1463,Van,Good,Overspeeding,36,5
V1464,1464,Bicycle,Average,Normal,33,2
V1465,1465,Auto,Good,Distracted,22,2
V1466,1466,Bike,Average,Distracted,58,1
V1467,1467,Auto,Average,Distracted,38,5
V1468,1468,Truck,Good,Fatigue,52,2
V1469,1469,Bus,Average,Fatigue,50,3
V1470,1470,Bike,Poor,Overspeeding,63,5
V1471,1471,Bicycle,Poor,Distracted,42,4
V1472,1472,Truck,Average,Fatigue,33,4
V1473,1473,Bicycle,Poor,Distracted,54,4
V1474,1474,Bicycle,Good,Normal,40,2
V1475,1475,Bicycle,Good,Fatigue,45,4
V1476,1476,Truck,Good,Normal,37,1
V1477,1477,Car,Poor,Distracted,62,2
V1478,1478,Bicycle,Poor,Overspeeding,51,3
V1479,1479,Auto,Poor,Distracted,32,4
V1480,1480,Bus,Good,Drunk Driving,36,1
V1481,1481,Car,Average,Fatigue,42,2
V1482,1482,Bike,Good,Overspeeding,53,1
V1483,1483,Auto,Average,Fatigue,65,1
V1484,1484,Van,Good,Distracted,50,3
V1485,1485,Car,Average,Fatigue,22,4
V1486,1486,Bike,Poor,Overspeeding,50,3
V1487,1487,Car,Good,Fatigue,30,4
V1488,1488,Car,Average,Drunk Driving,56,3
V1489,1489,Car,Poor,Overspeeding,57,1
V1490,1490,Bus,Poor,Distracted,42,4
V1491,1491,Bike,Average,Fatigue,43,1
V1492,1492,Van,Poor,Distracted,36,1
V1493,1493,Van,Average,Normal,52,2
V1494,1494,Auto,Average,Drunk Driving,31,4
V1495,1495,Van,Poor,Distracted,20,5
V1496,1496,Auto,Average,Distracted,35,2
V1497,1497,Bus,Average,Normal,47,3
V1498,1498,Truck,Poor,Normal,48,1
V1499,1499,Auto,Poor,Distracted,27,2
V1500,1500,Bike,Poor,Normal,41,3
V1501,1501,Car,Poor,Fatigue,60,4
V1502,1502,Auto,Average,Normal,18,2
V1503,1503,Van,Average,Drunk Driving,63,5
V1504,1504,Bike,Good,Overspeeding,56,1
V1505,1505,Bike,Good,Distracted,52,3
V1506,1506,Van,Poor,Normal,58,3
V1507,1507,Auto,Average,Distracted,21,3
V1508,1508,Bicycle,Poor,Normal,42,2
V1509,1509,Truck,Poor,Drunk Driving,26,4
V1510,1510,Car,Poor,Distracted,25,3
V1511,1511,Van,Average,Normal,44,5
V1512,1512,Bike,Poor,Fatigue,37,1
V1513,1513,Truck,Poor,Normal,64,3
V1514,1514,Bus,Poor,Overspeeding,60,4
V1515,1515,Auto,Poor,Distracted,47,4
V1516,1516,Car,Poor,Distracted,32,5
V1517,1517,Car,Poor,Drunk Driving,32,4
V1518,1518,Truck,Poor,Drunk Driving,52,2
V1519,1519,Auto,Average,Normal,51,1
V1520,1520,Auto,Good,Drunk Driving,63,1
V1521,1521,Auto,Poor,Distracted,48,3
V1522,1522,Car,Good,Overspeeding,42,2
V1523,1523,Truck,Average,Normal,45,5
V1524,1524,Bus,Average,Overspeeding,28,1
V1525,1525,Truck,Poor,Distracted,57,2
V1526,1526,Bike,Good,Normal,56,5
V1527,1527,Car,Poor,Drunk Driving,25,1
V1528,1528,Bus,Poor,Fatigue,32,4
V1529,1529,Van,Good,Fatigue,52,1
V1530,1530,Bike,Good,Drunk Driving,54,3
V1531,1531,Car,Poor,Overspeeding,47,1
V1532,1532,Bike,Poor,Overspeeding,63,5
V1533,1533,Van,Average,Distracted,57,4
V1534,1534,Truck,Average,Drunk Driving,49,4
V1535,1535,Bike,Average,Fatigue,53,2
V1536,1536,Van,Poor,Overspeeding,56,5
V1537,1537,Van,Good,Fatigue,62,3
V1538,1538,Truck,Average,Overspeeding,55,5
V1539,1539,Bicycle,Average,Distracted,34,1
V1540,1540,Bicycle,Good,Fatigue,65,4
V1541,1541,Bike,Poor,Normal,46,5
V1542,1542,Car,Good,Normal,22,3
V1543,1543,Van,Average,Overspeeding,26,1
V1544,1544,Auto,Average,Distracted,40,3
V1545,1545,Truck,Poor,Normal,65,3
V1546,1546,Car,Average,Overspeeding,26,4
V1547,1547,Bike,Average,Distracted,21,1
V1548,1548,Bus,Average,Normal,41,5
V1549,1549,Bicycle,Poor,Drunk Driving,54,1
V1550,1550,Bicycle,Average,Normal,18,4
V1551,1551,Truck,Poor,Overspeeding,56,4
V1552,1552,Van,Average,Overspeeding,37,4
V1553,1553,Van,Average,Normal,59,2
V1554,1554,Van,Poor,Normal,65,2
V1555,1555,Van,Poor,Normal,36,5
V1556,1556,Auto,Average,Distracted,27,2
V1557,1557,Auto,Good,Overspeeding,23,3
V1558,1558,Bike,Average,Normal,32,1
V1559,1559,Auto,Poor,Normal,22,1
V1560,1560,Van,Good,Overspeeding,41,5
V1561,1561,Auto,Good,Normal,25,3
V1562,1562,Bicycle,Good,Overspeeding,46,3
V1563,1563,Truck,Average,Fatigue,28,2
V1564,1564,Auto,Average,Distracted,47,1
V1565,1565,Bus,Poor,Fatigue,36,3
V1566,1566,Car,Poor,Distracted,54,2
V1567,1567,Truck,Average,Distracted,20,4
V1568,1568,Car,Poor,Drunk Driving,40,1
V1569,1569,Van,Poor,Drunk Driving,52,3
V1570,1570,Auto,Good,Distracted,53,1
V1571,1571,Bicycle,Average,Normal,35,1
V1572,1572,Auto,Average,Fatigue,28,1
V1573,1573,Bike,Poor,Distracted,21,1
V1574,1574,Truck,Average,Normal,27,1
V1575,1575,Auto,Good,Overspeeding,60,1
V1576,1576,Bike,Average,Overspeeding,45,3
V1577,1577,Auto,Poor,Overspeeding,47,2
V1578,1578,Van,Poor,Fatigue,64,1
V1579,1579,Bicycle,Average,Fatigue,41,1
V1580,1580,Auto,Average,Distracted,18,1
V1581,1581,Van,Good,Normal,64,3
V1582,1582,Bus,Average,Distracted,25,5
V1583,1583,Auto,Good,Normal,50,3
V1584,1584,Bike,Poor,Normal,28,4
V1585,1585,Bus,Average,Drunk Driving,58,3
V1586,1586,Auto,Average,Fatigue,46,2
V1587,1587,Van,Poor,Distracted,32,4
V1588,1588,Bus,Average,Normal,39,2
V1589,1589,Car,Good,Distracted,60,5
V1590,1590,Bicycle,Poor,Overspeeding,33,1
V1591,1591,Bus,Poor,Fatigue,41,1
V1592,1592,Auto,Average,Distracted,27,2
V1593,1593,Auto,Average,Drunk Driving,53,1
V1594,1594,Bicycle,Poor,Distracted,60,5
V1595,1595,Auto,Poor,Fatigue,44,5
V1596,1596,Car,Good,Normal,35,3
V1597,1597,Van,Poor,Fatigue,56,3
V1598,1598,Van,Poor,Normal,59,5
V1599,1599,Auto,Good,Distracted,37,2
V1600,1600,Truck,Poor,Distracted,26,4
V1601,1601,Car,Good,Fatigue,57,2
V1602,1602,Bicycle,Good,Normal,41,5
V1603,1603,Bus,Good,Overspeeding,40,5
V1604,1604,Bus,Good,Drunk Driving,38,2
V1605,1605,Bus,Good,Distracted,30,4
V1606,1606,Car,Average,Fatigue,31,4
V1607,1607,Bus,Poor,Drunk Driving,61,2
V1608,1608,Bus,Poor,Normal,21,2
V1609,1609,Truck,Good,Distracted,48,5
V1610,1610,Bicycle,Poor,Overspeeding,62,1
V1611,1611,Bike,Average,Distracted,30,2
V1612,1612,Bike,Poor,Fatigue,50,1
V1613,1613,Bicycle,Average,Drunk Driving,22,2
V1614,1614,Van,Good,Overspeeding,37,3
V1615,1615,Bike,Good,Distracted,29,2
V1616,1616,Van,Good,Fatigue,60,3
V1617,1617,Auto,Poor,Distracted,19,1
V1618,1618,Auto,Poor,Distracted,33,3
V1619,1619,Bicycle,Poor,Normal,37,3
V1620,1620,Bike,Good,Normal,26,4
V1621,1621,Car,Poor,Fatigue,55,4
V1622,1622,Truck,Good,Overspeeding,27,4
V1623,1623,Car,Poor,Distracted,37,4
V1624,1624,Truck,Good,Fatigue,25,5
V1625,1625,Van,Poor,Distracted,63,5
V1626,1626,Van,Good,Overspeeding,54,4
V1627,1627,Bus,Poor,Fatigue,45,4
V1628,1628,Van,Average,Fatigue,37,3
V1629,1629,Van,Poor,Drunk Driving,58,2
V1630,1630,Bike,Good,Normal,65,4
V1631,1631,Bicycle,Average,Overspeeding,28,1
V1632,1632,Bus,Average,Drunk Driving,25,2
V1633,1633,Truck,Poor,Drunk Driving,21,3
V1634,1634,Truck,Average,Normal,39,5
V1635,1635,Bike,Good,Overspeeding,27,1
V1636,1636,Bike,Good,Normal,58,5
V1637,1637,Bike,Average,Fatigue,30,2
V1638,1638,Van,Average,Distracted,40,3
V1639,1639,Car,Average,Overspeeding,36,2
V1640,1640,Bike,Good,Fatigue,48,2
V1641,1641,Car,Poor,Distracted,39,2
V1642,1642,Car,Poor,Overspeeding,41,4
V1643,1643,Car,Average,Fatigue,64,5
V1644,1644,Car,Poor,Overspeeding,20,4
V1645,1645,Truck,Poor,Drunk Driving,47,4
V1646,1646,Car,Poor,Overspeeding,34,4
V1647,1647,Truck,Good,Drunk Driving,38,4
V1648,1648,Bus,Good,Fatigue,42,4
V1649,1649,Car,Poor,Normal,57,1
V1650,1650,Van,Poor,Drunk Driving,21,1
V1651,1651,Bike,Average,Overspeeding,21,1
V1652,1652,Bike,Good,Overspeeding,65,3
V1653,1653,Truck,Good,Fatigue,20,1
V1654,1654,Car,Poor,Overspeeding,24,4
V1655,1655,Bike,Poor,Distracted,22,4
V1656,1656,Bus,Poor,Normal,46,2
V1657,1657,Bicycle,Average,Normal,57,5
V1658,1658,Bike,Poor,Normal,58,3
V1659,1659,Van,Average,Distracted,56,3
V1660,1660,Van,Average,Fatigue,28,4
V1661,1661,Auto,Average,Distracted,58,2
V1662,1662,Bicycle,Average,Fatigue,54,2
V1663,1663,Car,Good,Fatigue,51,4
V1664,1664,Auto,Average,Normal,24,3
V1665,1665,Auto,Poor,Overspeeding,50,2
V1666,1666,Truck,Average,Distracted,47,4
V1667,1667,Van,Good,Normal,21,4
V1668,1668,Auto,Poor,Fatigue,50,2
V1669,1669,Bike,Good,Fatigue,48,2
V1670,1670,Truck,Average,Fatigue,43,4
V1671,1671,Bike,Good,Normal,56,4
V1672,1672,Van,Poor,Fatigue,48,1
V1673,1673,Auto,Good,Drunk Driving,60,2
V1674,1674,Bike,Good,Drunk Driving,38,3
V1675,1675,Car,Poor,Drunk Driving,19,4
V1676,1676,Bus,Good,Distracted,41,5
V1677,1677,Car,Average,Distracted,26,1
V1678,1678,Van,Poor,Normal,51,4
V1679,1679,Bus,Poor,Normal,47,5
V1680,1680,Bike,Average,Fatigue,42,5
V1681,1681,Truck,Average,Fatigue,39,1
V1682,1682,Van,Poor,Overspeeding,46,5
V1683,1683,Auto,Good,Overspeeding,48,4
V1684,1684,Bike,Good,Normal,32,2
V1685,1685,Auto,Good,Normal,29,3
V1686,1686,Car,Average,Fatigue,51,1
V1687,1687,Bicycle,Poor,Drunk Driving,21,4
V1688,1688,Auto,Poor,Drunk Driving,45,2
V1689,1689,Bicycle,Poor,Normal,29,3
V1690,1690,Truck,Poor,Fatigue,49,2
V1691,1691,Bicycle,Average,Distracted,29,1
V1692,1692,Bus,Good,Distracted,26,3
V1693,1693,Van,Poor,Normal,57,3
V1694,1694,Bicycle,Average,Normal,46,4
V1695,1695,Auto,Good,Drunk Driving,37,3
V1696,1696,Car,Poor,Fatigue,29,3
V1697,1697,Van,Average,Drunk Driving,36,5
V1698,1698,Bus,Poor,Drunk Driving,63,3
V1699,1699,Van,Average,Overspeeding,18,2
V1700,1700,Auto,Good,Distracted,30,1
V1701,1701,Auto,Poor,Drunk Driving,29,4
V1702,1702,Van,Poor,Fatigue,52,1
V1703,1703,Bicycle,Average,Distracted,54,2
V1704,1704,Truck,Average,Drunk Driving,26,1
V1705,1705,Bicycle,Poor,Fatigue,45,4
V1706,1706,Car,Average,Overspeeding,49,2
V1707,1707,Bike,Good,Distracted,53,2
V1708,1708,Van,Poor,Overspeeding,35,5
V1709,1709,Truck,Good,Distracted,38,3
V1710,1710,Bus,Good,Distracted,55,2
V1711,1711,Auto,Average,Drunk Driving,27,2
V1712,1712,Auto,Good,Distracted,45,1
V1713,1713,Bus,Poor,Normal,42,4
V1714,1714,Bus,Good,Fatigue,23,1
V1715,1715,Bike,Poor,Normal,58,1
V1716,1716,Bicycle,Average,Fatigue,30,4
V1717,1717,Car,Average,Drunk Driving,40,4
V1718,1718,Auto,Poor,Overspeeding,19,3
V1719,1719,Car,Poor,Drunk Driving,55,5
V1720,1720,Bus,Average,Overspeeding,39,1
V1721,1721,Van,Good,Drunk Driving,48,4
V1722,1722,Bicycle,Poor,Drunk Driving,31,5
V1723,1723,Bike,Average,Drunk Driving,61,3
V1724,1724,Van,Average,Overspeeding,33,2
V1725,1725,Bicycle,Poor,Drunk Driving,18,2
V1726,1726,Van,Poor,Normal,36,4
V1727,1727,Bike,Poor,Normal,47,3
V1728,1728,Truck,Poor,Distracted,38,3
V1729,1729,Bus,Poor,Drunk Driving,21,5
V1730,1730,Bus,Average,Normal,22,4
V1731,1731,Bike,Good,Distracted,49,2
V1732,1732,Car,Poor,Overspeeding,37,4
V1733,1733,Bike,Good,Overspeeding,22,2
V1734,1734,Auto,Good,Distracted,49,1
V1735,1735,Truck,Poor,Distracted,41,2
V1736,1736,Bike,Poor,Distracted,38,2
V1737,1737,Auto,Poor,Distracted,31,3
V1738,1738,Bike,Good,Drunk Driving,20,1
V1739,1739,Bus,Good,Fatigue,55,1
V1740,1740,Bike,Poor,Normal,38,1
V1741,1741,Truck,Average,Overspeeding,62,4
V1742,1742,Bus,Good,Distracted,65,2
V1743,1743,Truck,Poor,Overspeeding,42,1
V1744,1744,Bike,Average,Overspeeding,32,2
V1745,1745,Car,Average,Distracted,35,1
V1746,1746,Car,Good,Fatigue,33,2
V1747,1747,Bus,Good,Distracted,18,5
V1748,1748,Car,Average,Distracted,38,4
V1749,1749,Auto,Poor,Drunk Driving,50,2
V1750,1750,Truck,Poor,Overspeeding,36,5
V1751,1751,Truck,Average,Distracted,32,2
V1752,1752,Car,Average,Drunk Driving,24,5
V1753,1753,Bus,Good,Overspeeding,61,3
V1754,1754,Bus,Average,Normal,63,2
V1755,1755,Bus,Poor,Fatigue,18,1
V1756,1756,Car,Poor,Drunk Driving,38,3
V1757,1757,Bicycle,Poor,Normal,35,2
V1758,1758,Bicycle,Good,Drunk Driving,38,3
V1759,1759,Truck,Poor,Fatigue,47,2
V1760,1760,Truck,Average,Overspeeding,47,1
V1761,1761,Bus,Poor,Normal,65,4
V1762,1762,Car,Average,Fatigue,44,4
V1763,1763,Van,Good,Normal,55,4
V1764,1764,Truck,Poor,Normal,40,3
V1765,1765,Car,Average,Overspeeding,49,5
V1766,1766,Bicycle,Average,Overspeeding,51,4
V1767,1767,Truck,Average,Overspeeding,32,4
V1768,1768,Van,Good,Normal,27,2
V1769,1769,Bicycle,Average,Distracted,52,1
V1770,1770,Auto,Poor,Drunk Driving,49,1
V1771,1771,Bus,Poor,Fatigue,49,4
V1772,1772,Auto,Average,Overspeeding,25,2
V1773,1773,Auto,Poor,Overspeeding,23,3
V1774,1774,Van,Good,Overspeeding,53,4
V1775,1775,Van,Average,Fatigue,33,2
V1776,1776,Car,Good,Normal,53,3
V1777,1777,Bus,Good,Fatigue,44,4
V1778,1778,Bike,Poor,Distracted,36,4
V1779,1779,Bicycle,Poor,Distracted,62,1
V1780,1780,Bicycle,Average,Normal,30,2
V1781,1781,Truck,Good,Normal,30,2
V1782,1782,Bus,Poor,Fatigue,62,5
V1783,1783,Car,Average,Drunk Driving,36,4
V1784,1784,Van,Poor,Normal,50,2
V1785,1785,Bus,Good,Drunk Driving,33,1
V1786,1786,Bike,Average,Drunk Driving,24,3
V1787,1787,Van,Good,Distracted,65,1
V1788,1788,Bicycle,Poor,Overspeeding,19,4
V1789,1789,Bike,Good,Normal,38,1
V1790,1790,Truck,Poor,Normal,30,3
V1791,1791,Car,Average,Distracted,61,3
V1792,1792,Bicycle,Average,Normal,52,5
V1793,1793,Bicycle,Poor,Drunk Driving,38,3
V1794,1794,Auto,Good,Normal,27,3
V1795,1795,Bus,Poor,Normal,23,1
V1796,1796,Van,Average,Distracted,52,4
V1797,1797,Auto,Average,Distracted,41,3
V1798,1798,Truck,Good,Overspeeding,41,2
V1799,1799,Truck,Poor,Normal,63,5
V1800,1800,Bus,Average,Overspeeding,54,1
V1801,1801,Van,Good,Drunk Driving,33,5
V1802,1802,Car,Poor,Distracted,29,1
V1803,1803,Car,Good,Distracted,38,2
V1804,1804,Bike,Poor,Normal,47,5
V1805,1805,Car,Poor,Drunk Driving,47,4
V1806,1806,Bus,Good,Fatigue,33,2
V1807,1807,Bike,Good,Fatigue,48,4
V1808,1808,Truck,Good,Distracted,19,2
V1809,1809,Car,Poor,Distracted,38,3
V1810,1810,Bicycle,Average,Distracted,62,1
V1811,1811,Auto,Good,Distracted,36,5
V1812,1812,Bus,Good,Drunk Driving,25,2
V1813,1813,Car,Average,Normal,34,4
V1814,1814,Bicycle,Good,Drunk Driving,63,5
V1815,1815,Bike,Average,Normal,34,1
V1816,1816,Bike,Average,Normal,27,1
V1817,1817,Bicycle,Good,Normal,54,5
V1818,1818,Auto,Good,Fatigue,64,2
V1819,1819,Bicycle,Poor,Overspeeding,58,3
V1820,1820,Bus,Poor,Drunk Driving,40,2
V1821,1821,Bike,Average,Fatigue,22,4
V1822,1822,Bus,Good,Normal,43,3
V1823,1823,Bicycle,Poor,Distracted,56,1
V1824,1824,Auto,Average,Fatigue,22,1
V1825,1825,Car,Poor,Distracted,19,4
V1826,1826,Van,Average,Distracted,42,2
V1827,1827,Truck,Good,Normal,46,2
V1828,1828,Truck,Poor,Distracted,34,1
V1829,1829,Bike,Average,Distracted,49,4
V1830,1830,Van,Average,Normal,29,2
V1831,1831,Auto,Average,Fatigue,20,2
V1832,1832,Car,Average,Overspeeding,60,5
V1833,1833,Auto,Average,Fatigue,23,2
V1834,1834,Bus,Good,Drunk Driving,38,2
V1835,1835,Van,Good,Fatigue,58,2
V1836,1836,Bike,Good,Fatigue,54,4
V1837,1837,Auto,Average,Distracted,60,2
V1838,1838,Bus,Poor,Overspeeding,20,1
V1839,1839,Truck,Average,Drunk Driving,18,2
V1840,1840,Van,Poor,Overspeeding,26,3
V1841,1841,Bike,Poor,Distracted,40,4
V1842,1842,Bus,Average,Overspeeding,53,1
V1843,1843,Car,Good,Overspeeding,55,3
V1844,1844,Bicycle,Good,Distracted,57,1
V1845,1845,Auto,Poor,Drunk Driving,40,2
V1846,1846,Truck,Good,Normal,60,3
V1847,1847,Van,Poor,Distracted,18,4
V1848,1848,Bike,Poor,Drunk Driving,62,4
V1849,1849,Truck,Good,Drunk Driving,21,1
V1850,1850,Van,Poor,Overspeeding,31,3
V1851,1851,Truck,Poor,Distracted,56,1
V1852,1852,Truck,Average,Distracted,64,1
V1853,1853,Bus,Poor,Normal,41,3
V1854,1854,Auto,Average,Drunk Driving,65,4
V1855,1855,Bike,Poor,Overspeeding,26,3
V1856,1856,Van,Poor,Drunk Driving,59,3
V1857,1857,Truck,Good,Fatigue,47,4
V1858,1858,Truck,Average,Overspeeding,43,3
V1859,1859,Bus,Average,Drunk Driving,19,3
V1860,1860,Auto,Average,Fatigue,48,5
V1861,1861,Car,Good,Drunk Driving,58,5
V1862,1862,Truck,Average,Drunk Driving,50,5
V1863,1863,Car,Poor,Normal,50,5
V1864,1864,Bicycle,Good,Distracted,45,3
V1865,1865,Van,Good,Overspeeding,31,4
V1866,1866,Truck,Average,Drunk Driving,22,1
V1867,1867,Bus,Average,Drunk Driving,30,5
V1868,1868,Bicycle,Average,Distracted,25,3
V1869,1869,Bus,Good,Normal,27,5
V1870,1870,Bicycle,Average,Drunk Driving,33,1
V1871,1871,Auto,Average,Distracted,60,5
V1872,1872,Bike,Good,Fatigue,45,3
V1873,1873,Bike,Average,Overspeeding,57,1
V1874,1874,Bus,Average,Drunk Driving,30,5
V1875,1875,Truck,Good,Drunk Driving,32,3
V1876,1876,Auto,Average,Fatigue,21,4
V1877,1877,Auto,Good,Normal,18,1
